"Date"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
"May-2007"	3.985	3.373	4.189	7.058	2.687	1.544
"Jun-2007"	9.408	9.721	6.296	6.586	9.929	6.623
"Jul-2007"	0.223	0.249	0.131	0.217	0.191	0.005
"Aug-2007"	4.318	3.592	1.554	2.403	4.582	1.26
"Sep-2007"	0.028	0.003	0.032	0.091	0	0
"Oct-2007"	3.37	4.143	2.784	2.76	3.992	2.714
"Nov-2007"	0.056	0.038	0.025	0.037	0.056	0
"Dec-2007"	0	1.434	0	0	6.41	0
"Jan-2008"	0	0	0	0	0	1.138
"Feb-2008"	0	0	0	0	0	0
"Mar-2008"	0	0.151	0.256	2.344	0	0.412
"Apr-2008"	4.589	5.516	8.847	6.432	0	3.723
"May-2008"	2.926	4.893	6.791	4.459	6.045	3.536
"Jun-2008"	4.087	6.348	3.458	2.846	8.423	2.52
"Jul-2008"	0.034	0.886	0.036	0	1.219	0.007
"Aug-2008"	0	0	0.014	0.002	0	0.037
"Sep-2008"	4.937	5.805	4.511	4.593	5.2	4.553
"Oct-2008"	0.134	0.743	0.008	0	0.115	0
"Nov-2008"	0	0.552	0.005	0	0.02	0
"Dec-2008"	0.239	0.415	0	0	0	0.004
"Jan-2009"	0.885	0	0	0	0	0
"Feb-2009"	0	0	0	0	0	0.006
"Mar-2009"	2.268	0	0.22	0.739	4.805	2.056
"Apr-2009"	1.558	0	1.964	1.967	4.264	0
"May-2009"	3.477	0	5.615	6.003	8.428	2.422
"Jun-2009"	6.077	0	3.573	5.074	13.862	3.866
"Jul-2009"	1.987	0	0.948	1.592	6.849	1.223
"Aug-2009"	2.515	0	2.659	3.33	3.991	2.176
"Sep-2009"	0	0	0	0	0.045	0
"Oct-2009"	4.191	0	4.484	5.369	7.475	4.199
"Nov-2009"	1.27	0	0	0.207	2.797	0.235
"Dec-2009"	0	0	0	0	1.047	0.385
"Jan-2010"	0	0	0	0	0.019	2.976
"Feb-2010"	0	0	0	0	0	0.007
"Mar-2010"	3.875	0	3.306	4.381	5.347	3.462
"Apr-2010"	3.329	0	4.321	3.929	4.728	3.273
"May-2010"	4.817	0	6.415	5.143	6.722	3.146
"Jun-2010"	11.41	0	13.421	12.597	16.616	9.098
"Jul-2010"	0.011	0	0	0	0.068	0
"Aug-2010"	0.001	0	0	0	0.197	0.004
"Sep-2010"	5.199	0	4.615	4.299	6.267	3.081
"Oct-2010"	0	0	0	0	0.832	0
"Nov-2010"	0	0	0	0	0	0
"Dec-2010"	0	0	0	0	0	0.06
"Jan-2011"	5.232	0.695	0	0.78	0	0.126
"Feb-2011"	0	3.411	0	0.122	0	0
"Mar-2011"	0.001	5.146	0	0.001	0.24	0.001
"Apr-2011"	0.836	0	1.997	1.828	4.736	0.686
"May-2011"	1.244	0	0.985	0.002	7.965	0
"Jun-2011"	1.083	0	0	0	3.004	0
"Jul-2011"	0	0	0	0	0	0
"Aug-2011"	0	0	0	0	0	0
"Apr-2012"	0	0	0	0	0	0
"May-2012"	8.57	8.173	3.853	4.328	0	3.128
"Jun-2012"	0.032	1.118	0.049	0	0	0
"Jul-2012"	0	0	0.023	0	0	0.04
"Aug-2012"	0	0	0.04	0	0	0
"Sep-2012"	0	0	0	0	0	0
"Oct-2012"	0	0	0	0	0	0
"Nov-2012"	0	0	0	0	0	0
"Dec-2012"	0	0	0	0	0	0
"Feb-2013"	0	0.411	0	0	0	0
"Mar-2013"	1.363	5.459	1.007	3.356	4.058	0.268
"Apr-2013"	7.857	11.108	7.033	8.502	13.315	7.885
"May-2013"	8.414	13.459	10.619	10.657	15.031	8.767
"Jun-2013"	1.695	3.273	1.591	0.877	4.508	1.115
"Jul-2013"	0.057	0.745	0.001	0.001	1.817	0.006
"Aug-2013"	0	0	0.001	0	0	0
"Sep-2013"	0	0	0	0	0	0
"Oct-2013"	0	0	0	0	0	0
"Nov-2013"	0	0	0	0	0	0
"Dec-2013"	0	0	0	0	0	0
"Jan-2014"	0	0	0	0	0	0
"Feb-2014"	0	0	0	0	0	0
"Mar-2014"	0	0	0	0	0	0
"Apr-2014"	1.192	0.015	0	0	0	0
"May-2014"	0.519	0.006	0	0	0	0
"Jun-2014"	7.86	13.88	1.769	4.792	10.648	2.535
"Jul-2014"	4.652	13.021	1.01	3.716	13.668	3.171
"Aug-2014"	0.005	0.326	0.04	0	0.096	0.007
"Sep-2014"	0.23	1.14	0	0	0.34	0.162
"Oct-2014"	6.105	12.835	1.581	2.502	13.368	3.819
"Nov-2014"	0.032	1.082	0	0	1.067	0.006
"Mar-2015"	0.11	2.01	0.002	0	0.354	0
"Apr-2015"	0.17	0.147	0.871	0	0.004	0.036
"May-2015"	1.127	0.994	1.091	1.289	4.795	3.308
"Jun-2015"	3.855	7.527	4.525	31.372	15.218	9.58
"Jul-2015"	0.945	0.074	0.321	14.048	7.026	2.402
"Aug-2015"	0.056	0.041	0.365	0.001	0.528	0.531
"Sep-2015"	0	0	0.145	0	0.02	0.155
"Oct-2015"	0	0.023	0.015	0	0.507	0.004
"Nov-2015"	0.499	1.019	0.075	0	5.94	1
"Dec-2015"	1.01	0.851	0.02	0	7.798	0
