"Date"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
2007-05-01	0.063	0.132	0.029	0.234	0.046	0.011
2007-05-02	0.013	0.107	0.018	0.158	0.032	0.01
2007-05-03	0.009	0.104	0.021	0.107	0.026	0.01
2007-05-04	0.085	0.088	0.083	0.193	0.058	0.064
2007-05-05	0.243	0.166	0.154	0.413	0.104	0.069
2007-05-06	0.597	0.263	0.227	0.602	0.268	0.29
2007-05-07	0.735	0.55	0.339	1.124	0.374	0.34
2007-05-08	0.142	0.286	0.132	0.597	0.142	0.05
2007-05-09	0.075	0.173	0.094	0.413	0.088	0.01
2007-05-10	0.033	0.123	0.063	0.281	0.057	0.004
2007-05-11	0.005	0.086	0.034	0.181	0.039	0.004
2007-05-12	0.001	0.058	0.017	0.102	0.027	0.003
2007-05-13	0.001	0.043	0.003	0.049	0.021	0.002
2007-05-14	0	0.043	0.053	0.045	0.021	0.002
2007-05-15	0	0.033	0.057	0.047	0.014	0.001
2007-05-16	0.002	0.008	0.039	0.043	0.009	0.001
2007-05-17	0.003	0	0.026	0.042	0.006	0
2007-05-18	0.003	0.002	0.026	0.06	0.006	0
2007-05-19	0.003	0.001	0.026	0.056	0.006	0
2007-05-20	0.003	0.003	0.019	0.034	0.004	0
2007-05-21	0.003	0.004	0.012	0.024	0.004	0
2007-05-22	0.002	0.005	0.008	0.024	0.003	0
2007-05-23	0.002	0.002	0.008	0.021	0.002	0
2007-05-24	0.002	0.002	0.008	0.017	0.001	0
2007-05-25	0.001	0.002	0.008	0.014	0	0
2007-05-26	0.085	0.031	0.217	0.036	0.062	0.029
2007-05-27	0.749	0.307	0.906	0.666	0.399	0.242
2007-05-28	0.13	0.17	0.344	0.334	0.129	0.005
2007-05-29	0.043	0.101	0.205	0.191	0.067	0
2007-05-30	0.01	0.071	0.141	0.107	0.044	0
2007-05-31	0.944	0.407	0.871	0.844	0.629	0.392
2007-06-01	0.877	0.448	0.212	0.225	0.385	0.392
2007-06-02	1.468	1.186	0.67	0.813	1.29	1.025
2007-06-03	1.391	1.628	1.515	1.555	1.668	1.311
2007-06-04	0.471	0.414	0.104	0.117	0.405	0.082
2007-06-05	0.168	0.196	0.012	0.01	0.214	0.005
2007-06-06	0.108	0.13	0.009	0	0.157	0
2007-06-07	0.053	0.117	0.007	0	0.131	0
2007-06-08	0.004	0.069	0.006	0	0.078	0
2007-06-09	0.002	0.056	0.006	0	0.063	0
2007-06-10	0.002	0.053	0.006	0	0.06	0
2007-06-11	0.002	0.043	0.006	0	0.047	0
2007-06-12	0.002	0.038	0.006	0	0.038	0
2007-06-13	0.002	0.034	0.006	0.003	0.033	0
2007-06-14	0.002	0.029	0.005	0.005	0.028	0
2007-06-15	0.002	0.025	0.005	0.006	0.024	0
2007-06-16	0.002	0.02	0.005	0.006	0.019	0
2007-06-17	0.002	0.019	0.005	0.006	0.015	0
2007-06-18	0.002	0.018	0.005	0.006	0.014	0
2007-06-19	0.001	0.012	0.005	0.006	0.008	0
2007-06-20	0.001	0.011	0.005	0.007	0.006	0
2007-06-21	0.122	0.073	0.005	0.007	0.087	0.08
2007-06-22	1.729	1.46	1.216	1.207	1.449	1.385
2007-06-23	1.91	1.897	1.915	1.915	1.904	1.91
2007-06-24	0.743	1.005	0.521	0.64	1.024	0.427
2007-06-25	0.264	0.276	0.01	0.007	0.287	0.006
2007-06-26	0.063	0.155	0.006	0.008	0.171	0
2007-06-27	0.01	0.109	0.006	0.009	0.116	0
2007-06-28	0.002	0.083	0.005	0.008	0.088	0
2007-06-29	0.002	0.064	0.005	0.007	0.066	0
2007-06-30	0.002	0.052	0.005	0.007	0.053	0
2007-07-01	0.002	0.04	0.005	0.007	0.038	0
2007-07-02	0.002	0.032	0.005	0.007	0.031	0
2007-07-03	0.002	0.027	0.005	0.007	0.027	0
2007-07-04	0.002	0.021	0.005	0.007	0.02	0
2007-07-05	0.002	0.014	0.005	0.008	0.012	0
2007-07-06	0.002	0.01	0.005	0.007	0.008	0
2007-07-07	0.002	0.008	0.005	0.008	0.005	0
2007-07-08	0.002	0.005	0.005	0.008	0.003	0
2007-07-09	0.002	0.003	0.005	0.008	0.001	0
2007-07-10	0.001	0.001	0.005	0.008	0	0
2007-07-11	0.001	0	0.004	0.007	0	0
2007-07-12	0.001	0	0.004	0.007	0	0
2007-07-13	0.001	0	0.004	0.007	0	0
2007-07-14	0.001	0	0.004	0.007	0	0
2007-07-15	0.001	0	0.004	0.006	0	0
2007-07-16	0.001	0	0.004	0.006	0	0
2007-07-17	0.001	0	0.004	0.006	0	0
2007-07-18	0.001	0	0.004	0.007	0	0
2007-07-19	0.138	0.049	0.004	0.007	0.039	0.004
2007-07-20	0.002	0.021	0.004	0.007	0.007	0
2007-07-21	0.002	0.009	0.004	0.007	0.001	0
2007-07-22	0.002	0.004	0.004	0.007	0	0
2007-07-23	0.002	0.002	0.004	0.007	0	0
2007-07-24	0.001	0	0.004	0.007	0	0
2007-07-25	0.001	0	0.004	0.007	0	0
2007-07-26	0.001	0	0.004	0.007	0	0
2007-07-27	0.002	0	0.004	0.007	0	0
2007-07-28	0.005	0	0.004	0.007	0	0
2007-07-29	0.009	0	0.004	0.007	0	0
2007-07-30	0.014	0	0.005	0.007	0	0
2007-07-31	0.02	0.001	0.001	0.007	0	0
2007-08-01	0	0	0	0.007	0	0
2007-08-02	0.037	0.008	0	0.007	0	0
2007-08-03	0.047	0.015	0	0.007	0	0
2007-08-04	0.06	0.027	0	0.006	0	0
2007-08-05	0.074	0.042	0	0.008	0	0
2007-08-06	0.09	0.062	0	0.008	0	0
2007-08-07	0.108	0.086	0	0.009	0	0
2007-08-08	0.128	0.116	0	0.048	0.087	0
2007-08-09	0.151	0.151	0	0.843	1.208	0
2007-08-10	0.194	0.214	0.005	0.008	0.175	0
2007-08-11	0.008	0.081	0.005	0.009	0.058	0
2007-08-12	0.002	0.034	0.005	0.009	0.025	0
2007-08-13	0.002	0.014	0.005	0.009	0.01	0
2007-08-14	0.002	0.005	0.005	0.009	0.002	0
2007-08-15	0.002	0.002	0.005	0.009	0	0
2007-08-16	0.002	0	0.005	0.009	0	0
2007-08-17	0.002	0	0.005	0.009	0	0
2007-08-18	0.002	0	0.005	0.008	0	0
2007-08-19	0.002	0.016	0.005	0.009	0.028	0
2007-08-20	0.07	0.08	0.005	0.009	0.085	0
2007-08-21	0.661	0.222	0.005	0.009	0.215	0.024
2007-08-22	0.087	0.127	0.005	0.01	0.096	0
2007-08-23	0.211	0.108	0.005	0.009	0.115	0
2007-08-24	1.372	1.269	1.086	0.956	1.388	1.001
2007-08-25	0.784	0.528	0.375	0.339	0.752	0.233
2007-08-26	0.184	0.207	0.006	0.007	0.195	0.001
2007-08-27	0.025	0.095	0.004	0.007	0.085	0
2007-08-28	0.003	0.046	0.004	0.007	0.032	0
2007-08-29	0.003	0.021	0.004	0.007	0.016	0
2007-08-30	0.002	0.01	0.004	0.007	0.007	0
2007-08-31	0.002	0.006	0.003	0.007	0.002	0
2007-09-01	0.002	0.002	0.003	0.006	0	0
2007-09-02	0.001	0.001	0.001	0.006	0	0
2007-09-03	0.001	0	0	0.006	0	0
2007-09-04	0.001	0	0	0.006	0	0
2007-09-05	0.001	0	0.001	0.006	0	0
2007-09-06	0.002	0	0.001	0.005	0	0
2007-09-07	0.002	0	0.002	0.006	0	0
2007-09-08	0.002	0	0.002	0.005	0	0
2007-09-09	0.002	0	0.002	0.004	0	0
2007-09-10	0.001	0	0.002	0.004	0	0
2007-09-11	0.001	0	0.002	0.003	0	0
2007-09-12	0.001	0	0.001	0.003	0	0
2007-09-13	0.001	0	0.001	0.003	0	0
2007-09-14	0.001	0	0.001	0.003	0	0
2007-09-15	0.001	0	0.001	0.002	0	0
2007-09-16	0.001	0	0.001	0.002	0	0
2007-09-17	0.001	0	0.001	0.002	0	0
2007-09-18	0.001	0	0.001	0.002	0	0
2007-09-19	0.001	0	0.001	0.002	0	0
2007-09-20	0.001	0	0.001	0.002	0	0
2007-09-21	0.001	0	0.001	0.002	0	0
2007-09-22	0.001	0	0.001	0.002	0	0
2007-09-23	0	0	0.001	0.001	0	0
2007-09-24	0.001	0	0.001	0.002	0	0
2007-09-25	0.001	0	0.001	0.002	0	0
2007-09-26	0	0	0	0.001	0	0
2007-09-27	0	0	0	0.001	0	0
2007-09-28	0	0	0	0.001	0	0
2007-09-29	0	0	0	0.001	0	0
2007-09-30	0	0	0	0.001	0	0
2007-10-01	0	0.013	0	0.001	0	0
