"Date"	"S1"	"S2"	"S3"	"S4"	"S5"	"S6"
2007-05-01	6	4	3	9	13	8
2007-05-02	5	5	4	6	8	13
2007-05-03	11	4	6	9	8	13
2007-05-04	6	8	1	4	6	6
2007-05-05	2	7	3	2	4	1
2007-05-06	1	2	2	0	6	2
2007-05-07	0	5	0	1	2	3
2007-05-08	4	1	2	4	5	5
2007-05-09	5	4	3	6	2	4
2007-05-10	5	5	6	8	8	10
2007-05-11	6	6	5	6	6	10
2007-05-12	7	2	3	4	4	10
2007-05-13	10	2	4	14	7	11
2007-05-14	15	4	6	2	9	4
2007-05-15	12	4	10	9	5	7
2007-05-16	6	3	10	7	9	4
2007-05-17	6	10	6	13	4	2
2007-05-18	10	10	10	6	9	7
2007-05-19	16	7	4	8	6	9
2007-05-20	9	11	6	11	4	7
2007-05-21	9	6	9	4	11	10
2007-05-22	13	7	20	10	12	7
2007-05-23	5	5	4	8	8	5
2007-05-24	15	4	7	4	9	13
2007-05-25	16	5	19	10	7	13
2007-05-26	22	4	9	4	6	11
2007-05-27	0	3	0	1	0	0
2007-05-28	4	8	5	2	2	4
2007-05-29	4	11	6	3	6	12
2007-05-30	5	13	11	4	8	20
2007-05-31	2	0	1	0	2	2
2007-06-01	2	2	5	3	1	0
2007-06-02	0	1	3	0	1	0
2007-06-03	0	0	0	0	0	0
2007-06-04	0	7	7	2	3	0
2007-06-05	2	9	12	4	6	3
2007-06-06	2	12	10	14	9	8
2007-06-07	0	6	10	15	7	19
2007-06-08	15	10	15	13	5	6
2007-06-09	3	7	13	9	6	5
2007-06-10	3	7	20	9	8	5
2007-06-11	7	7	12	11	6	17
2007-06-12	9	7	8	13	9	12
2007-06-13	10	8	5	11	3	10
2007-06-14	8	9	16	5	9	3
2007-06-15	5	11	18	12	7	3
2007-06-16	7	10	9	11	5	7
2007-06-17	7	10	6	13	14	6
2007-06-18	2	5	3	14	9	5
2007-06-19	7	14	12	11	6	5
2007-06-20	10	6	7	19	4	5
2007-06-21	5	3	5	7	6	1
2007-06-22	0	0	4	6	0	0
2007-06-23	0	0	0	0	0	0
2007-06-24	1	0	2	3	0	0
2007-06-25	0	3	3	2	0	0
2007-06-26	3	4	3	2	6	0
2007-06-27	1	1	5	5	3	0
2007-06-28	9	2	4	17	1	2
2007-06-29	4	2	0	9	6	4
2007-06-30	5	3	1	10	6	0
2007-07-01	3	0	0	8	4	0
2007-07-02	0	0	2	8	2	0
2007-07-03	1	0	2	11	2	2
2007-07-04	2	3	2	1	2	3
2007-07-05	3	1	0	4	2	1
2007-07-06	2	4	3	7	4	0
2007-07-07	0	2	0	8	1	1
2007-07-08	2	2	0	7	1	0
2007-07-09	1	0	2	4	0	2
2007-07-10	1	3	3	5	3	1
2007-07-11	3	1	0	11	0	0
2007-07-12	1	2	0	6	0	1
2007-07-13	0	1	1	6	2	0
2007-07-14	2	1	0	5	4	1
2007-07-15	1	1	0	8	3	0
2007-07-16	2	0	3	5	0	2
2007-07-17	5	1	4	9	5	10
2007-07-18	1	2	5	8	2	1
2007-07-19	0	0	0	12	0	1
2007-07-20	0	2	0	10	0	0
2007-07-21	2	0	1	12	1	1
2007-07-22	3	6	3	7	1	3
2007-07-23	4	4	6	1	1	3
2007-07-24	4	1	1	4	0	0
2007-07-25	1	1	1	3	0	0
2007-07-26	2	1	1	5	0	36
2007-07-27	23	3	0	10	1	47
2007-07-28	47	0	4	11	2	47
2007-07-29	47	11	5	8	0	47
2007-07-30	47	47	0	4	1	47
2007-07-31	47	47	21	3	1	47
2007-08-01	47	47	47	1	0	47
2007-08-02	47	47	47	4	1	47
2007-08-03	47	47	47	2	0	47
2007-08-04	47	47	47	12	7	47
2007-08-05	47	47	47	0	1	47
2007-08-06	47	47	47	3	5	47
2007-08-07	47	47	47	2	4	47
2007-08-08	47	47	47	1	2	47
2007-08-09	47	47	47	0	8	47
2007-08-10	24	27	26	2	27	32
2007-08-11	2	2	7	3	4	8
2007-08-12	9	11	10	4	5	11
2007-08-13	11	8	7	10	7	14
2007-08-14	17	6	4	6	5	5
2007-08-15	14	16	2	14	1	5
2007-08-16	3	12	17	16	5	13
2007-08-17	13	8	8	7	2	5
2007-08-18	11	11	5	16	8	12
2007-08-19	13	5	10	14	6	6
2007-08-20	2	9	1	4	4	17
2007-08-21	0	3	14	12	2	1
2007-08-22	7	7	10	14	4	4
2007-08-23	1	3	10	9	4	12
2007-08-24	0	0	1	2	0	4
2007-08-25	0	3	6	3	0	2
2007-08-26	1	7	15	1	5	8
2007-08-27	5	11	18	6	6	10
2007-08-28	16	12	26	9	7	11
2007-08-29	10	11	23	11	6	7
2007-08-30	11	15	13	6	10	20
2007-08-31	13	8	11	7	5	8
2007-09-01	10	9	16	19	3	11
2007-09-02	9	16	9	13	4	11
2007-09-03	12	8	20	10	7	5
2007-09-04	13	4	14	13	6	6
2007-09-05	13	9	4	8	2	9
2007-09-06	14	15	7	5	5	11
2007-09-07	12	5	22	7	1	11
2007-09-08	15	12	11	12	0	3
2007-09-09	11	11	19	2	0	11
2007-09-10	12	11	7	13	2	13
2007-09-11	8	11	10	11	5	7
2007-09-12	14	12	9	11	10	12
2007-09-13	8	7	10	12	4	7
2007-09-14	10	8	14	7	7	8
2007-09-15	13	14	9	10	11	4
2007-09-16	4	14	17	24	8	5
2007-09-17	18	5	9	7	7	6
2007-09-18	7	6	3	9	0	8
2007-09-19	11	7	19	14	0	7
2007-09-20	13	13	8	8	3	10
2007-09-21	9	7	4	12	13	14
2007-09-22	5	14	6	7	7	7
2007-09-23	13	9	16	9	9	16
2007-09-24	13	8	8	14	9	7
2007-09-25	7	4	14	4	22	5
2007-09-26	11	11	15	9	10	11
2007-09-27	11	10	4	12	4	12
2007-09-28	12	5	15	10	6	5
2007-09-29	6	10	10	9	8	9
2007-09-30	12	8	6	7	11	9
2007-10-01	10	5	14	12	1	10
2007-10-02	16	10	8	6	1	11
2007-10-03	7	9	7	10	3	10
2007-10-04	16	9	10	4	7	11
2007-10-05	16	14	4	5	3	17
2007-10-06	23	19	7	22	14	6
2007-10-07	13	15	6	19	13	22
2007-10-08	17	23	17	16	16	13
2007-10-09	24	21	16	12	11	14
2007-10-10	20	22	20	14	9	23
2007-10-11	17	17	22	13	13	25
2007-10-12	18	17	13	27	12	23
2007-10-13	20	16	30	21	13	29
2007-10-14	21	14	18	13	11	31
2007-10-15	22	15	16	25	17	23
2007-10-16	24	24	28	7	21	20
2007-10-17	19	14	17	16	9	31
2007-10-18	0	0	0	0	0	0
2007-10-19	3	3	1	4	3	0
2007-10-20	8	4	18	18	8	6
2007-10-21	7	5	16	13	11	25
2007-10-22	26	22	33	15	17	27
2007-10-23	19	20	19	19	7	9
2007-10-24	19	20	18	12	6	14
2007-10-25	20	17	24	22	10	12
2007-10-26	20	18	19	18	15	13
2007-10-27	20	20	23	20	15	13
2007-10-28	18	17	15	21	10	17
2007-10-29	9	18	20	16	14	12
2007-10-30	12	15	22	14	17	21
2007-10-31	31	20	27	17	14	9
2007-11-01	13	15	22	17	9	14
2007-11-02	19	26	20	16	10	9
2007-11-03	26	17	17	17	14	12
2007-11-04	21	17	13	13	5	13
2007-11-05	19	18	22	13	7	18
2007-11-06	15	15	18	15	5	14
2007-11-07	22	16	23	18	4	10
2007-11-08	22	18	10	16	5	15
2007-11-09	16	16	18	17	6	18
2007-11-10	21	17	18	13	8	26
2007-11-11	20	21	33	24	19	34
2007-11-12	25	19	21	11	7	15
2007-11-13	14	18	18	7	11	11
2007-11-14	27	14	16	21	7	16
2007-11-15	18	18	14	17	12	19
2007-11-16	20	18	12	21	21	22
2007-11-17	12	18	18	20	14	21
2007-11-18	30	19	14	21	23	15
2007-11-19	18	15	21	20	10	15
2007-11-20	18	19	25	13	12	31
2007-11-21	20	22	32	23	15	21
2007-11-22	12	20	33	12	19	15
2007-11-23	11	16	28	16	13	12
2007-11-24	27	16	13	12	17	18
2007-11-25	20	17	19	11	6	21
2007-11-26	17	17	27	15	0	10
2007-11-27	7	20	17	20	0	16
2007-11-28	18	17	12	14	0	11
2007-11-29	27	29	31	22	17	32
2007-11-30	48	47	48	48	48	48
2007-12-01	48	47	48	48	48	48
2007-12-02	48	47	48	48	48	48
2007-12-03	48	47	48	48	48	48
2007-12-04	48	47	48	48	48	48
2007-12-05	48	47	48	48	48	48
2007-12-06	48	47	48	48	48	48
2007-12-07	48	47	48	48	48	48
2007-12-08	48	47	48	48	48	48
2007-12-09	48	47	48	48	48	48
2007-12-10	48	47	48	48	48	48
2007-12-11	48	47	48	48	48	48
2007-12-12	48	47	48	48	48	48
2007-12-13	48	37	48	48	34	48
2007-12-14	48	31	47	47	24	47
2007-12-15	48	33	48	48	25	48
2007-12-16	48	31	48	48	24	48
2007-12-17	48	28	48	48	24	48
2007-12-18	48	31	48	48	24	48
2007-12-19	48	32	48	48	24	48
2007-12-20	48	34	48	48	25	48
2007-12-21	48	29	48	48	25	48
2007-12-22	48	25	48	48	25	48
2007-12-23	48	27	48	48	25	48
2007-12-24	48	24	48	48	24	48
2007-12-25	48	24	48	48	24	48
2007-12-26	48	25	48	48	24	48
2007-12-27	48	28	48	48	24	48
2007-12-28	48	29	48	48	24	48
2007-12-29	48	29	47	47	24	47
2007-12-30	48	30	48	48	24	48
2007-12-31	48	25	48	48	24	48
2008-01-07	30	30	30	30	30	15
2008-01-08	48	48	48	48	48	25
2008-01-09	48	48	48	48	48	24
2008-01-10	48	48	48	48	48	24
2008-01-11	48	48	48	48	48	24
2008-01-12	48	48	48	48	48	24
2008-01-13	48	48	47	48	48	24
2008-01-14	48	48	48	48	48	24
2008-01-15	48	48	48	48	48	24
2008-01-16	48	48	48	48	48	25
2008-01-17	48	48	48	48	48	24
2008-01-18	48	48	48	48	48	24
2008-01-19	48	48	48	48	48	24
2008-01-20	48	48	48	48	48	24
2008-01-21	48	48	48	48	48	26
2008-01-22	48	48	48	48	48	24
2008-01-23	48	48	48	48	48	24
2008-01-24	48	48	48	48	48	24
2008-01-25	48	48	48	48	48	24
2008-01-26	48	48	48	48	48	25
2008-01-27	48	48	48	48	48	25
2008-01-28	48	48	47	48	48	25
